audio_file,question,language
[to be inserted],מהו תפקידו של הסלניום בפעילות הקטליטית של אנזימים?,he
[to be inserted],מהי הכתובת של אוניברסיטת פקין?,he
[to be inserted],מתי הוקמה אוניברסיטת פקין?,he
[to be inserted],אילו מבנים מפורסמים בנו הפרעונים המצרים?,he
[to be inserted],באיזו מדינה ממוקמת דרזדן?,he
[to be inserted],מהו הבניין הגבוה ביותר בעולם?,he
[to be inserted],היכן בסין ממוקם אגם המלח הגדול ביותר?,he
[to be inserted],האם מהנדסים סינים מעורבים בפיתוח הביטקוין?,he
[to be inserted],כיצד נולדה אתנה במיתולוגיה היוונית?,he
[to be inserted],היכן ממוקמי אזורי המחיה העיקריים של העגור יפני?,he
[to be inserted],היכן ממוקמת קתדרלת נוטרדאם?,he
[to be inserted],כמה זמן לקח לבנות את נוטרדאם דה פריז?,he
[to be inserted],שמעתי ששתיית הרבה מים לא בהכרח תהפוך את העור לפחות יבש. האם זה נכון?,he
[to be inserted],"מהו ""חוט הארקה"" בתאוריית החשמל?",he
[to be inserted],מהי דרך אחת להגן על ציוד במערכות חשמל מפני הפרעות אלקטרומגנטיות מורכבות?,he
[to be inserted],איך הייתה המערכת הפוליטית של רומא העתיקה?,he
[to be inserted],מי שימש כמנהל הגבוה ביותר בתקופת הרפובליקה ברומא העתיקה?,he
[to be inserted],מהי מחלת קרון? מהם תסמיניה וכיצד היא מאובחנת?,he
[to be inserted],האם מחלת קרון תגרום בקלות לאנמיה?,he
[to be inserted],מהן הדתות העיקריות בסין?,he
[to be inserted],אנא הציגו את המושגים וההבדלים בין הסעה טבעית להסעה מאולצת.,he
[to be inserted],מהי ההגדרה של חומר על-מוליך?,he
[to be inserted],איזו קיסרית בהיסטוריה הסינית הייתה האישה היחידה שהוקרה בהר טאי?,he
[to be inserted],מה פירוש מטר מעוקב?,he
[to be inserted],מהו הקשר בין מטרים מעוקבים לסנטימטרים מעוקבים?,he
[to be inserted],כמה שוקל בקירוב מטר מעוקב אחד של מים?,he
[to be inserted],מהי עיר הבירה של נורווגיה?,he
[to be inserted],מדוע אסור להשתמש בכלי מתכת בתנור מיקרוגל?,he
[to be inserted],מה היה הקודם של גוגל מפות? איך זה נקרא לפני שגוגל רכשה אותו?,he
[to be inserted],האם אתה יודע מהי המסה של פלוטו?,he
[to be inserted],מהו פרוטוקול אינטרנט (IP)?,he
[to be inserted],האם לבעלי חיים יש אמפתיה?,he
[to be inserted],כמה פעמים בשנה מוענקים פרסי נובל?,he
[to be inserted],האם יש דוגמה של מספר אנשים החולקים את אותו הפרש בהענקת פרס נובל השנתית הזו?,he
[to be inserted],מתי התחילה והסתיימה השושלת השמונה-עשרה של מצרים העתיקה?,he
[to be inserted],מי היה הקיסר הראשון של האימפריה הרומית העתיקה?,he
[to be inserted],"סליחה, מהו קבוע פלאנק?",he
[to be inserted],באיזו מאה החלו להשתמש במערכת הגיאוצנטרית?,he
[to be inserted],האם ניוטון שמר קודם לכן על עקרונות המערכת הגיאוצנטרית?,he
[to be inserted],התאריך מקביל בלוח השנה הירחי ל-1 באוקטובר 2023 בלוח השנה הגרגוריאני הוא,he
[to be inserted],מהו המזל האסטרולוגי עבור ה-1 באוקטובר 2023 בלוח השנה הגרגוריאני?,he
[to be inserted],היכן מתקיימות חגיגות שמחות יותר ב-1 באוקטובר 2023 בלוח השנה הגרגוריאני?,he
[to be inserted],האם אתה מכיר את האטרקציות המפורסמות בפריז?,he
[to be inserted],מתי נבנה מוזיאון הלובר?,he
[to be inserted],האם מומבאי היא עיר הבירה של הודו?,he
[to be inserted],באיזו מדינה בהודו ממוקמת ורנאסי?,he
[to be inserted],מהי התנגשות אלסטית?,he
[to be inserted],כמה רובעים (Arrondissements) יש בפריז?,he
[to be inserted],"מלבד מאכלי ים ואיברים פנימיים, אילו מאכלים נוספים קשורים לצינית (גאוט)?",he
[to be inserted],מהי מכניקת הקוונטים?,he
[to be inserted],מהו מחשב קוונטי?,he
[to be inserted],הצג את מושגי היסוד של ChatGPT.,he
[to be inserted],מאילו יסודות מורכבים מים?,he
[to be inserted],לאיזו מדינה שייך אגם בייקל?,he
[to be inserted],מהם היסודות הנפוצים ביותר בטבע?,he
[to be inserted],מהם הימים העיקריים באירופה?,he
[to be inserted],לאיזה תחום ידע שייכת תורת היחסות?,he
[to be inserted],"ויטמין E הוא נוגד חמצון עוצמתי, אך מדוע הוא פחות יעיל מסלניום בהגנה על תאים מפני נזקי עקה חמצונית?",he
[to be inserted],מהו פרדוקס פרמי?,he
[to be inserted],"לפי תורת היחסות, מהו הקשר בין מסה לאנרגיה?",he
[to be inserted],"שלום, תוכל להסביר את זווית הנטייה של ציר סיבוב כדור הארץ?",he
[to be inserted],איזו השפעה תהיה להתחממות האקלים על החקלאות?,he
[to be inserted],אנא הסבר את המושג חור שחור.,he
[to be inserted],מהי שזירה קוונטית?,he
[to be inserted],מהי תורת היחסות?,he
[to be inserted],מהי טכנולוגיית בלוקצ'יין?,he
[to be inserted],מהי מכניקת הקוונטים?,he
[to be inserted],מי גילה את החמצן?,he
[to be inserted],מי הציע את חוק הכבידה העולמי?,he
[to be inserted],כיצד נולד היקום?,he
[to be inserted],מהם שלושת חוקי ניוטון?,he
[to be inserted],מהו שינוי האקלים?,he
