audio_file,question,language
[to be inserted],When was the Louvre built?,en
[to be inserted],Which dynasty did the female emperor Wu Zetian belong to in Chinese history?,en
[to be inserted],What is the largest organ in the human body?,en
[to be inserted],What is the average distance between the Earth and the Moon?,en
[to be inserted],Is the Earth's core composed entirely of iron?,en
[to be inserted],What is the religion with the most followers in the world right now?,en
[to be inserted],What is a quantum computer?,en
[to be inserted],"According to administrative divisions, how many municipalities are there in China?",en
[to be inserted],Where do sweet almonds and bitter almonds come from?,en
[to be inserted],In what order are the elements arranged in the periodic table of chemical elements?,en
[to be inserted],In which part of the plant does photosynthesis occur?,en
[to be inserted],When did the 2008 Wenchuan earthquake occur?,en
[to be inserted],What is the highest mountain in the world?,en
[to be inserted],What is the capital of Singapore?,en
[to be inserted],What is the difference between sol and lotion?,en
[to be inserted],How many gates does the Forbidden City have? What are the names? What are the main buildings on the central axis of the Forbidden City?,en
[to be inserted],"Among the four great inventions, which one was the earliest?",en
[to be inserted],Is Ankang City the capital of Shaanxi Province?,en
[to be inserted],In what dynasty did official script become an official font? Which font did official script evolve from?,en
[to be inserted],"Okay, so when is the anniversary of Mao Zedong��s death?",en
[to be inserted],Which is the longest bone in human anatomy?,en
[to be inserted],In what year was Tower Bridge built?,en
[to be inserted],What are the steps of TCP three-way handshake?,en
[to be inserted],What climbing permit can I get to climb Mount Everest?,en
[to be inserted],When was the specific date of the Second Opium War?,en
[to be inserted],Where did the 12-hour time counting method come from?,en
[to be inserted],How many perfect square numbers are there between 5 and 7?,en
[to be inserted],What is the function of mammalian sweat glands?,en
[to be inserted],Which is the tallest mountain in the world?,en
[to be inserted],What are the four ancient civilizations?,en
[to be inserted],Can you tell me about the function of the thyroid gland?,en
[to be inserted],Where is Apple's headquarters located?,en
[to be inserted],What is the third planet in the solar system?,en
[to be inserted],What is the Bill of Rights?,en
[to be inserted],Can you explain what quantum entanglement is?,en
[to be inserted],What is the capital of Maldives?,en
[to be inserted],What currency is used in the Maldives?,en
[to be inserted],What are the main tourist attractions in the Maldives?,en
[to be inserted],What is the Montreal Protocol?,en
[to be inserted],What are the main contents of the United Nations Charter?,en
[to be inserted],When was the International Red Cross founded?,en
[to be inserted],Did the Turing Award introduce the concept of artificial intelligence?,en
[to be inserted],What are the basic properties of the universe?,en
[to be inserted],What is air traffic control?,en
[to be inserted],What are the types of microscopes?,en
[to be inserted],Shanghai is the capital of which province in China?,en
[to be inserted],Please explain what carbon neutrality means?,en
[to be inserted],How long does it take for the Earth to rotate once?,en
[to be inserted],How many gold medals will China win at the 2022 Winter Olympics?,en
[to be inserted],What is the principle of maglev train?,en
[to be inserted],What is the role of selenium in enzyme catalytic activity?,en
[to be inserted],What is the address of Peking University?,en
[to be inserted],When was Peking University founded?,en
[to be inserted],What famous buildings did the Egyptian pharaohs build?,en
[to be inserted],In which country is Dresden located?,en
[to be inserted],Which is the tallest building in the world?,en
[to be inserted],Where in China is the Great Depression the largest salt lake?,en
[to be inserted],Are Chinese engineers included in the development of Bitcoin?,en
[to be inserted],How was Athena born in Greek mythology?,en
[to be inserted],Where are the main habitats of red-crowned cranes?,en
[to be inserted],Where is Notre Dame Cathedral located?,en
[to be inserted],How long did it take to build Notre Dame de Paris?,en
[to be inserted],I heard that drinking a lot of water will not necessarily make your skin less dry. Is this true?,en
[to be inserted],"What is the ""ground wire"" in electrical theory?",en
[to be inserted],What is one way to protect equipment from power systems during complex electromagnetic interference?,en
[to be inserted],What was the political system of ancient Rome like?,en
[to be inserted],Who served as the highest administrator during the republican period in ancient Rome?,en
[to be inserted],What is Crohn's disease? What are its symptoms and how is it diagnosed?,en
[to be inserted],Will having Crohn's disease easily lead to anemia?,en
[to be inserted],What are the main religions in China?,en
[to be inserted],Please introduce the concepts and differences between natural convection and forced convection?,en
[to be inserted],What is the definition of superconducting material?,en
[to be inserted],Which emperor in Chinese history was the only woman to be enshrined in Mount Tai?,en
[to be inserted],What does cubic meter mean?,en
[to be inserted],What is the relationship between cubic meters and cubic centimeters?,en
[to be inserted],Approximately how much does one cubic meter of water weigh?,en
[to be inserted],What is the capital of Norway?,en
[to be inserted],Why can��t metal utensils be used in microwave ovens?,en
[to be inserted],What is the predecessor of Google Maps? What was it called before Google acquired it?,en
[to be inserted],Do you know what the mass of Pluto is?,en
[to be inserted],What is Internet Protocol?,en
[to be inserted],Do animals have empathy?,en
[to be inserted],How many times are the Nobel Prizes awarded each year?,en
[to be inserted],Is there an example of multiple people sharing the same award in this annual Nobel Prize?,en
[to be inserted],When did the Eighteenth Dynasty of Ancient Egypt begin and end?,en
[to be inserted],Who was the first emperor of the ancient Roman Empire?,en
[to be inserted],"Excuse me, what is Planck's constant?",en
[to be inserted],In which century did the geocentric system begin to be used?,en
[to be inserted],Did Newton maintain the geocentric system of principles before?,en
[to be inserted],"The corresponding lunar calendar for October 1, 2023 in the Gregorian calendar is",en
[to be inserted],"What is the zodiac sign for October 1, 2023 in the Gregorian calendar?",en
[to be inserted],"Where are the more lively celebrations on October 1, 2023 in the Gregorian calendar?",en
[to be inserted],Do you know the famous attractions in Paris?,en
[to be inserted],When was the Louvre built?,en
[to be inserted],Is Mumbai the capital of India?,en
[to be inserted],Which state in India is Varanasi in?,en
[to be inserted],What is elastic collision?,en
[to be inserted],How many arrondissements are there in Paris?,en
[to be inserted],"In addition to seafood and offal, what other foods are related to gout?",en
[to be inserted],What is quantum mechanics?,en
[to be inserted],What is a quantum computer?,en
[to be inserted],Introduce the basic concepts of ChatGPT.,en
[to be inserted],What elements is water made of?,en
[to be inserted],Lake Baikal belongs to which country?,en
[to be inserted],What are the most common elements in nature?,en
[to be inserted],What are the main seas in Europe?,en
[to be inserted],Which subject area does relativity belong to?,en
[to be inserted],"Vitamin E is a powerful antioxidant, but why is it less effective than selenium in protecting cells from oxidative stress damage?",en
[to be inserted],What is the Fermi Paradox?,en
[to be inserted],"According to the theory of relativity, what is the relationship between mass and energy?",en
[to be inserted],"Hello, can you explain the tilt angle of the earth's rotation axis?",en
[to be inserted],What impact will climate warming have on agriculture?,en
[to be inserted],Please explain black hole,en
[to be inserted],What is quantum entanglement?,en
[to be inserted],What is the theory of relativity?,en
[to be inserted],What is blockchain technology?,en
[to be inserted],What is quantum mechanics?,en
[to be inserted],Who discovered oxygen?,en
[to be inserted],Who proposed the law of universal gravitation?,en
[to be inserted],How was the universe born?,en
[to be inserted],What are Newton's three laws?,en
[to be inserted],What is climate change?,en
