audio_file,question,language
[to be inserted],"Können Sie erklären, was Quantenverschränkung ist?",de
[to be inserted],Was ist die Hauptstadt der Malediven?,de
[to be inserted],Welche Währung wird auf den Malediven verwendet?,de
[to be inserted],Was sind die Haupttouristenattraktionen auf den Malediven?,de
[to be inserted],Was ist das Montrealer Protokoll?,de
[to be inserted],Was sind die Hauptinhalte der Charta der Vereinten Nationen?,de
[to be inserted],Wann wurde das Internationale Rote Kreuz gegründet?,de
[to be inserted],Hat der Turing-Award den Begriff der künstlichen Intelligenz eingeführt?,de
[to be inserted],Was sind die grundlegenden Eigenschaften des Universums?,de
[to be inserted],Was ist Flugsicherung?,de
[to be inserted],Welche Arten von Mikroskopen gibt es?,de
[to be inserted],Shanghai ist die Hauptstadt welcher chinesischen Provinz?,de
[to be inserted],"Bitte erklären Sie, was Klimaneutralität bedeutet.",de
[to be inserted],Wie lange braucht die Erde für eine Drehung um die eigene Achse?,de
[to be inserted],Wie viele Goldmedaillen gewinnt China bei den Olympischen Winterspielen 2022?,de
[to be inserted],Was ist das Prinzip der Maglev-Magnetschwebebahn?,de
[to be inserted],Welche Rolle spielt Selen bei der enzymatischen Katalyseaktivität?,de
[to be inserted],Wie lautet die Adresse der Peking-Universität?,de
[to be inserted],Wann wurde die Peking-Universität gegründet?,de
[to be inserted],Welche berühmten Bauwerke haben die ägyptischen Pharaonen gebaut?,de
[to be inserted],In welchem Land liegt Dresden?,de
[to be inserted],Welches ist das höchste Gebäude der Welt?,de
[to be inserted],Wo in China befindet sich der größte Salzsee?,de
[to be inserted],Sind chinesische Ingenieure an der Entwicklung von Bitcoin beteiligt?,de
[to be inserted],Wie wurde Athene in der griechischen Mythologie geboren?,de
[to be inserted],Wo sind die Hauptlebensräume des Kronenkranichs (Mandschurenkranichs)?,de
[to be inserted],Wo befindet sich die Kathedrale Notre-Dame?,de
[to be inserted],Wie lange hat der Bau von Notre-Dame de Paris gedauert?,de
[to be inserted],"Ich habe gehört, dass viel Wassertrinken die Haut nicht unbedingt weniger trocken macht. Stimmt das?",de
[to be inserted],"Was ist das ""Erdungskabel"" in der Elektrotechnik?",de
[to be inserted],"Was ist eine Möglichkeit, Geräte in Stromsystemen vor komplexen elektromagnetischen Störungen zu schützen?",de
[to be inserted],Wie war das politische System des antiken Roms?,de
[to be inserted],Wer war der höchste Verwalter während der republikanischen Zeit im antiken Rom?,de
[to be inserted],Was ist Morbus Crohn? Was sind die Symptome und wie wird es diagnostiziert?,de
[to be inserted],Führt Morbus Crohn leicht zu Anämie?,de
[to be inserted],Was sind die Hauptreligionen in China?,de
[to be inserted],Bitte erklären Sie die Konzepte und Unterschiede zwischen natürlicher Konvektion und erzwingender Konvektion.,de
[to be inserted],Was ist die Definition von supraleitendem Material?,de
[to be inserted],"Welcher Kaiser in der chinesischen Geschichte war die einzige Frau, die auf dem Mount Tai verehrt wurde?",de
[to be inserted],Was bedeutet Kubikmeter?,de
[to be inserted],Was ist die Beziehung zwischen Kubikmetern und Kubikzentimetern?,de
[to be inserted],Wie viel wiegt ungefähr ein Kubikmeter Wasser?,de
[to be inserted],Was ist die Hauptstadt von Norwegen?,de
[to be inserted],Warum darf man keine Metallutensilien in der Mikrowelle verwenden?,de
[to be inserted],"Was war der Vorgänger von Google Maps? Wie hieß es, bevor Google es übernommen hat?",de
[to be inserted],"Wissen Sie, wie groß die Masse von Pluto ist?",de
[to be inserted],Was ist das Internet-Protokoll?,de
[to be inserted],Haben Tiere Empathie?,de
[to be inserted],Wie oft werden die Nobelpreise jedes Jahr verliehen?,de
[to be inserted],"Gibt es ein Beispiel dafür, dass sich mehrere Personen denselben Preis bei dieser jährlichen Nobelpreisverleihung teilen?",de
[to be inserted],Wann begann und endete die 18. Dynastie des alten Ägyptens?,de
[to be inserted],Wer war der erste Kaiser des antiken Römischen Reiches?,de
[to be inserted],"Entschuldigung, was ist das Plancksche Wirkungsquantum?",de
[to be inserted],"In welchem Jahrhundert begann man, das geozentrische Weltbild zu nutzen?",de
[to be inserted],Hat Newton früher die Prinzipien des geozentrischen Weltbilds aufrechterhalten?,de
[to be inserted],Das entsprechende Mondkalenderdatum für den 1. Oktober 2023 im Gregorianischen Kalender ist,de
[to be inserted],Was ist das Sternzeichen für den 1. Oktober 2023 im Gregorianischen Kalender?,de
[to be inserted],Wo finden am 1. Oktober 2023 im Gregorianischen Kalender lebhaftere Feierlichkeiten statt?,de
[to be inserted],Kennen Sie die berühmten Sehenswürdigkeiten in Paris?,de
[to be inserted],Wann wurde der Louvre erbaut?,de
[to be inserted],Ist Mumbai die Hauptstadt von Indien?,de
[to be inserted],In welchem Bundesstaat Indiens liegt Varanasi?,de
[to be inserted],Was ist ein elastischer Stoß?,de
[to be inserted],Wie viele Arrondissements gibt es in Paris?,de
[to be inserted],Welche anderen Lebensmittel außer Meeresfrüchten und Innereien stehen im Zusammenhang mit Gicht?,de
[to be inserted],Was ist Quantenmechanik?,de
[to be inserted],Was ist ein Quantencomputer?,de
[to be inserted],Stellen Sie die grundlegenden Konzepte von ChatGPT vor.,de
[to be inserted],Aus welchen Elementen besteht Wasser?,de
[to be inserted],Zu welchem Land gehört der Baikalsee?,de
[to be inserted],Was sind die häufigsten Elemente in der Natur?,de
[to be inserted],Was sind die wichtigsten Meere in Europa?,de
[to be inserted],Zu welchem Fachgebiet gehört die Relativitätstheorie?,de
[to be inserted],"Vitamin E ist ein starkes Antioxidans, aber warum ist es beim Schutz der Zellen vor oxidativem Stress weniger wirksam als Selen?",de
[to be inserted],Was ist das Fermi-Paradoxon?,de
[to be inserted],Was ist laut Relativitätstheorie die Beziehung zwischen Masse und Energie?,de
[to be inserted],"Hallo, können Sie den Neigungswinkel der Erdrotationsachse erklären?",de
[to be inserted],Welche Auswirkungen wird die Erderwärmung auf die Landwirtschaft haben?,de
[to be inserted],Bitte erklären Sie Schwarze Löcher.,de
[to be inserted],Was ist Quantenverschränkung?,de
[to be inserted],Was ist die Relativitätstheorie?,de
[to be inserted],Was ist Blockchain-Technologie?,de
[to be inserted],Was ist Quantenmechanik?,de
[to be inserted],Wer hat Sauerstoff entdeckt?,de
[to be inserted],Wer hat das Gravitationsgesetz vorgeschlagen?,de
[to be inserted],Wie ist das Universum entstanden?,de
[to be inserted],Was sind die drei Newtonschen Gesetze?,de
[to be inserted],Was ist der Klimawandel?,de
