audio_file,question,language
[to be inserted],Mi Szingapúr fővárosa?,hu
[to be inserted],Mi a különbség a szol és a lotion között?,hu
[to be inserted],Hány kapuja van a Tiltott Városnak? Melyek a neveik? Melyek a fő épületek a Tiltott Város központi tengelyén?,hu
[to be inserted],A négy nagy találmány közül melyik volt a legkorábbi?,hu
[to be inserted],Ankang város Senhszi (Shaanxi) tartomány fővárosa?,hu
[to be inserted],Melyik dinasztiában vált a kancellári írás (lishu) hivatalos írásmóddá? Melyik írásmódból fejlődött ki?,hu
[to be inserted],Mikor van Mao Ce-tung halálának évfordulója?,hu
[to be inserted],Melyik az emberi anatómia leghosszabb csontja?,hu
[to be inserted],Melyik évben épült a Tower Bridge?,hu
[to be inserted],Melyek a TCP háromutas kézfogás lépései?,hu
[to be inserted],Milyen hegymászási engedélyt kaphatok a Mount Everest megmászásához?,hu
[to be inserted],Mikor volt a második ópiumháború pontos dátuma?,hu
[to be inserted],Honnan ered a 12 órás időszámítási rendszer?,hu
[to be inserted],Hány négyzetszám van 5 és 7 között?,hu
[to be inserted],Mi az emlősök verejtékmirigyeinek funkciója?,hu
[to be inserted],Melyik a világ legmagasabb hegycsúcsa?,hu
[to be inserted],Melyek a négy ókori civilizáció?,hu
[to be inserted],Tudna mesélni a pajzsmirigy funkciójáról?,hu
[to be inserted],Hol található az Apple székhelye?,hu
[to be inserted],Melyik a harmadik bolygó a Naprendszerben?,hu
[to be inserted],Mi az a Jogok Nyilatkozata (Bill of Rights)?,hu
[to be inserted],"El tudja magyarázni, mi az a kvantum-összefonódás?",hu
[to be inserted],Mi a Maldív-szigetek fővárosa?,hu
[to be inserted],Milyen pénznemet használnak a Maldív-szigeteken?,hu
[to be inserted],Melyek a fő turisztikai látványosságok a Maldív-szigeteken?,hu
[to be inserted],Mi a Montreali Jegyzőkönyv?,hu
[to be inserted],Melyek az Egyesült Nemzetek Alapokmányának főbb pontjai?,hu
[to be inserted],Mikor alapították a Nemzetközi Vöröskeresztet?,hu
[to be inserted],A Turing-díj vezette be a mesterséges intelligencia fogalmát?,hu
[to be inserted],Melyek az univerzum alapvető tulajdonságai?,hu
[to be inserted],Mi az a légiforgalmi irányítás?,hu
[to be inserted],Milyen típusú mikroszkópok léteznek?,hu
[to be inserted],Sanghaj Kína melyik tartományának a fővárosa?,hu
[to be inserted],"Kérjük, magyarázza el, mit jelent a karbonsemlegesség!",hu
[to be inserted],Mennyi idő alatt tesz meg a Föld egy teljes fordulatot a tengelye körül?,hu
[to be inserted],Hány aranyérmet nyert Kína a 2022-es téli olimpiai játékokon?,hu
[to be inserted],Mi a lebegő mágnesvasút (maglev) működési elve?,hu
[to be inserted],Mi a szelén szerepe az enzimkatalitikus aktivitásban?,hu
[to be inserted],Mi a Pekingi Egyetem címe?,hu
[to be inserted],Mikor alapították a Pekingi Egyetemet?,hu
[to be inserted],Milyen híres épületeket építettek az egyiptomi fáraók?,hu
[to be inserted],Melyik országban található Drezda?,hu
[to be inserted],Melyik a világ legmagasabb épülete?,hu
[to be inserted],Hol található Kínában a legnagyobb sós tó?,hu
[to be inserted],Részt vettek kínai mérnökök a Bitcoin fejlesztésében?,hu
[to be inserted],Hogyan született Athéné a görög mitológiában?,hu
[to be inserted],Melyek a mandzsu daru fő élőhelyei?,hu
[to be inserted],Hol található a Notre-Dame-székesegyház?,hu
[to be inserted],Mennyi ideig tartott a párizsi Notre-Dame felépítése?,hu
[to be inserted],"Azt hallottam, hogy a sok vízivás nem feltétlenül csökkenti a bőr szárazságát. Ez igaz?",hu
[to be inserted],"Mi az a ""földelés"" az elektrotechnikában?",hu
[to be inserted],"Mi az egyik módja annak, hogy megvédjük a berendezéseket az elektromos hálózatban az összetett elektromágneses interferenciától?",hu
[to be inserted],Milyen volt az ókori Róma politikai rendszere?,hu
[to be inserted],Ki volt a legfőbb tisztségviselő a köztársaság korában az ókori Rómában?,hu
[to be inserted],Mi az a Crohn-betegség? Melyek a tünetei és hogyan diagnosztizálják?,hu
[to be inserted],A Crohn-betegség könnyen vérszegénységhez vezethet?,hu
[to be inserted],Melyek a fő vallások Kínában?,hu
[to be inserted],Mondaná el a természetes konvekció és a kényszerített konvekció fogalmát és különbségeit?,hu
[to be inserted],Mi a szupravezető anyagok definíciója?,hu
[to be inserted],"A kínai történelemben melyik császár volt az egyetlen nő, aki áldozatot mutatott be a Tai-hegyen?",hu
[to be inserted],Mit jelent a köbméter?,hu
[to be inserted],Mi a kapcsolat a köbméter és a köbcenti között?,hu
[to be inserted],Körülbelül mennyit nyom egy köbméter víz?,hu
[to be inserted],Mi Norvégia fővárosa?,hu
[to be inserted],Miért nem szabad fémedényeket használni a mikrohullámú sütőben?,hu
[to be inserted],"Mi volt a Google Maps elődje? Hogy hívták, mielőtt a Google felvásárolta?",hu
[to be inserted],"Tudja, mekkora a Plútó tömege?",hu
[to be inserted],Mi az az internetprotokoll (IP)?,hu
[to be inserted],Van az állatoknak empátiájuk?,hu
[to be inserted],Évente hányszor adják át a Nobel-díjakat?,hu
[to be inserted],"Van rá példa, hogy többen megosztva kapták ugyanazt a díjat az éves Nobel-díj átadásakor?",hu
[to be inserted],Mikor kezdődött és mikor ért véget az Ókori Egyiptom tizennyolcadik dinasztiája?,hu
[to be inserted],Ki volt az Ókori Római Birodalom első császára?,hu
[to be inserted],"Elnézést, mi az a Planck-állandó?",hu
[to be inserted],Melyik században kezdték el használni a geocentrikus világképet?,hu
[to be inserted],Newton korábban a geocentrikus világkép elveit vallotta?,hu
[to be inserted],A gergely-naptár szerinti 2023. október 1-jének megfelelő holdnaptári dátum:,hu
[to be inserted],Mi a csillagjegye a gergely-naptár szerinti 2023. október 1-jének?,hu
[to be inserted],Hol vannak hangosabb ünnepségek a gergely-naptár szerinti 2023. október 1-jén?,hu
[to be inserted],Ismeri Párizs híres látnivalóit?,hu
[to be inserted],Mikor épült a Louvre?,hu
[to be inserted],Mumbai India fővárosa?,hu
[to be inserted],India melyik államában található Váránaszi?,hu
[to be inserted],Mi az a rugalmas ütközés?,hu
[to be inserted],Hány kerülete (arrondissement) van Párizsnak?,hu
[to be inserted],A tenger gyümölcsein és a belsőségeken kívül milyen egyéb ételek kapcsolódnak a köszvényhez?,hu
[to be inserted],Mi az a kvantummechanika?,hu
[to be inserted],Mi az a kvantumszámítógép?,hu
[to be inserted],Mutassa be a ChatGPT alapvető koncepcióit!,hu
[to be inserted],Milyen elemekből áll a víz?,hu
[to be inserted],Melyik országhoz tartozik a Bajkál-tó?,hu
[to be inserted],Melyek a leggyakoribb elemek a természetben?,hu
[to be inserted],Melyek Európa főbb tengerei?,hu
[to be inserted],Melyik szakterülethez tartozik a relativitáselmélet?,hu
[to be inserted],"Az E-vitamin hatékony antioxidáns, de miért kevésbé hatékony, mint a szelén a sejtek oxidatív stressz elleni védelmében?",hu
[to be inserted],Mi az a Fermi-paradoxon?,hu
[to be inserted],A relativitáselmélet szerint mi a kapcsolat a tömeg és az energia között?,hu
[to be inserted],Üdvözlöm! El tudná magyarázni a Föld forgástengelyének ferdeségét?,hu
[to be inserted],Milyen hatással lesz az éghajlatváltozás a mezőgazdaságra?,hu
[to be inserted],"Kérjük, magyarázza el a fekete lyuk fogalmát!",hu
[to be inserted],Mi az a kvantum-összefonódás?,hu
[to be inserted],Mi az a relativitáselmélet?,hu
[to be inserted],Mi az a blokklánc-technológia?,hu
[to be inserted],Mi az a kvantummechanika?,hu
[to be inserted],Ki fedezte fel az oxigént?,hu
[to be inserted],Ki javasolta az egyetemes tömegvonzás törvényét?,hu
[to be inserted],Hogyan született az univerzum?,hu
[to be inserted],Melyek Newton három törvényei?,hu
[to be inserted],Mi az az éghajlatváltozás?,hu
